"";"treeID";"stemID";"dbh";"genus";"species";"Family";"WD";"agb_species";"agb_genus";"agb_chave2014";"agb_chave2005";"agb_brown1997"
"1";6014;6014;8,8;"Quercus";"alba";"Fagaceae";0,63;41,7637958420848;50,1688162521659;7,28909987751777;29,973752744533;20,7169388870757
"2";6201;6201;41,72000122;"Quercus";"alba";"Fagaceae";0,63;1290,4913813959;1406,80615588702;369,675361455357;1763,74132708235;1062,32043294748
"3";1158;1158;29,82000122;"Quercus";"alba";"Fagaceae";0,63;615,537169388786;685,219219849344;161,467210889732;748,594727861427;454,243578251781
"4";3736;3736;44,37999878;"Quercus";"alba";"Fagaceae";0,63;1478,87396937446;1605,96497912152;430,073417997229;2060,03757367806;1242,13345169231
"5";3741;3741;1,119999981;"Quercus";"alba";"Fagaceae";0,63;0,443777189212984;0,606231046983831;0,0284973001232142;0,179965916446524;0,11253976477994
"6";6014;32937;8,2;"Quercus";"alba";"Fagaceae";0,63;35,7428951329262;43,1257327846387;6,06737169401818;24,8619475107449;17,3274027844298
"7";6109;6109;72,17999878;"Quercus";"alba";"Fagaceae";0,63;4321,08151024011;4552,21311151498;1397,59542708653;6762,90233383906;4251,8614712487
"8";3829;3829;1,75;"Quercus";"alba";"Fagaceae";0,63;1,1869883214634;1,57699650864387;0,0978395876834395;0,497042744461082;0,348073281444953
"9";6065;6065;66,90999756;"Quercus";"alba";"Fagaceae";0,63;3656,00283420645;3869,81583023676;1164,71639682818;5643,19344518169;3509,75409893151
"10";6122;6122;26,12999878;"Quercus";"alba";"Fagaceae";0,63;460,028137699922;516,342429595244;116,235087953894;531,566868059325;325,19741123319
"11";3942;3942;20,03999939;"Quercus";"alba";"Fagaceae";0,63;256,289612459226;292,463894475018;59,7690432789375;265,414273086607;166,182625264617
"12";3832;3832;8,75;"Quercus";"alba";"Fagaceae";0,63;41,2424635969932;49,5601755508791;7,1821188428809;29,524638606933;20,4204260311981
"13";6198;6198;18,55;"Quercus";"alba";"Fagaceae";0,63;216,15275376924;247,853376138621;49,1860513576126;216,528139061066;136,676713305129
"14";3829;32657;1,519999981;"Quercus";"alba";"Fagaceae";0,63;0,870044771054515;1,16611853642428;0,0664104376210304;0,357930106287725;0,243696161250554
"15";4930;4930;42,88999939;"Quercus";"michauxii";"Fagaceae";0,6515;1373,46426823135;1496,19869280369;408,000035929815;1955,38440423823;1139,31864776262
"16";4908;4908;33,73999939;"Quercus";"prinus";"Fagaceae";0,57;807,529050242875;892,000691075079;199,948393620745;930,502404827803;620,856814807476
"17";4902;4902;26,56000061;"Quercus";"prinus";"Fagaceae";0,57;476,442269490447;534,201799453588;110,411642684378;501,792531947623;338,907725233535
"18";3833;3833;55,12999878;"Quercus";"prinus";"Fagaceae";0,57;2384,41123622243;2554,31491479491;665,234364711802;3191,57420537252;2150,28497856183
"19";3861;32665;31,92999878;"Quercus";"prinus";"Fagaceae";0,57;715,07951966101;792,604342966285;174,458044868212;807,746239770214;540,017266670426
"20";4883;4883;16,65;"Quercus";"prinus";"Fagaceae";0,57;170,131398871959;196,400303978764;34,1247659708978;147,252141010186;103,983024678207
"21";4945;4945;7,15;"Quercus";"prinus";"Fagaceae";0,57;26,3798527582831;32,103348907036;3,87114822383397;15,6636023871247;12,2512022677115
"22";3841;32661;3,189999962;"Quercus";"prinus";"Fagaceae";0,57;4,44988920508541;5,69523291724806;0,455673751075086;1,94505776531775;1,58991841464203
"23";6105;6105;38,12000122;"Quercus";"prinus";"Fagaceae";0,57;1056,92944203098;1158,62662391088;270,141588896923;1270,19030909724;845,475984735795
"24";5006;5006;48,12000122;"Quercus";"prinus";"Fagaceae";0,57;1766,61726911944;1908,63679125609;477,909129829987;2280,98773126199;1524,29234100212
"25";4937;4937;52,77999878;"Quercus";"prinus";"Fagaceae";0,57;2166,02590047618;2326,68774563718;598,478389118962;2867,4570591327;1925,89207151252
"26";3851;3851;30,38999939;"Quercus";"prinus";"Fagaceae";0,57;641,231254037409;712,946844447908;154,343909376005;711,212463890069;476,533101538647
"27";6175;6175;1,060000038;"Quercus";"prinus";"Fagaceae";0,57;0,391958418134814;0,537373618618012;0,0222925951752186;0,144386728460684;0,0979057735005804
"28";3759;3759;5,409999847;"Quercus";"prinus";"Fagaceae";0,57;14,2631278562982;17,6625798190614;1,86096287452399;7,5384466751927;6,05025214112181
"29";4910;4910;24,53999939;"Quercus";"prinus";"Fagaceae";0,57;400,181620340924;450,917460737561;90,625798210977;408,370424694965;277,438692959924
"30";3859;3859;47,92000122;"Quercus";"prinus";"Fagaceae";0,57;1750,46671548092;1891,6797260035;473,0803836385;2257,48047882694;1508,31475694971
"31";4921;4921;49,48999939;"Quercus";"prinus";"Fagaceae";0,57;1879,4324090269;2026,96541547518;511,745832269506;2445,68036753202;1636,49080316586
"32";3854;3854;23,03000031;"Quercus";"prinus";"Fagaceae";0,57;347,88765034343;393,550902781187;77,3065242736238;345,919486896247;236,25885899538
"33";4971;4971;44,51000061;"Quercus";"prinus";"Fagaceae";0,57;1487,5100601439;1614,9358345089;395,048448330428;1877,55146303196;1251,35966700308
"34";4905;4905;19,73000031;"Quercus";"prinus";"Fagaceae";0,57;247,359761655161;282,542963986251;52,4105862770196;230,481930504676;159,75555463494
"35";4895;4895;33,32999878;"Quercus";"prinus";"Fagaceae";0,57;786,048871780529;868,936617201601;193,997245513572;901,806472351946;601,946270083953
"36";3754;3754;53,47999878;"Quercus";"prinus";"Fagaceae";0,57;2229,87893225945;2393,30743099192;617,941064226452;2962,00570337492;1991,17136355377
"37";3758;3758;29,87999878;"Quercus";"prinus";"Fagaceae";0,57;617,741679951614;687,556316473199;147,996798278398;680,823727040531;456,559390927938
"38";6105;32948;29,05;"Quercus";"prinus";"Fagaceae";0,57;580,535367864953;647,282563583806;137,997336218915;633,029452162078;425,151925476333
"39";5015;32813;30,05;"Quercus";"prinus";"Fagaceae";0,57;625,51836505808;695,9653268215;150,095285399429;690,866647315759;463,159897896535
"40";3861;3861;47,57999878;"Quercus";"prinus";"Fagaceae";0,57;1723,19650112306;1863,03763848923;464,93603182647;2217,83031424274;1481,38595771922
"41";6181;6181;1,089999962;"Quercus";"prinus";"Fagaceae";0,57;0,416837896701263;0,570488369850905;0,0240966438921762;0,153433200633944;0,105068716218599
"42";6051;6051;17,43000031;"Quercus";"prinus";"Fagaceae";0,57;188,204031046009;216,643271338761;38,3220468381284;166,201534607218;116,752673264206
"43";4921;32798;45,95;"Quercus";"prinus";"Fagaceae";0,57;1595,70246774182;1728,9559747986;427,014997092637;2033,19463542162;1356,33440774862
"44";3841;3841;4,070000076;"Quercus";"prinus";"Fagaceae";0,57;7,61478330508004;9,5987353295997;0,874735356019183;3,61116570083355;2,9448169232028
"45";4900;4900;35,01000061;"Quercus";"prinus";"Fagaceae";0,57;876,079624405508;965,492097237988;219,048150315482;1022,72840352506;681,695588863294
"46";4941;4941;19,88000031;"Quercus";"prinus";"Fagaceae";0,57;251,525658098194;287,165571536775;53,4204614832283;235,123586298709;162,846295342947
"47";5015;5015;51,95;"Quercus";"prinus";"Fagaceae";0,57;2091,62628592789;2248,99421109072;575,862348016408;2757,540300404;1850,18804601508
"48";3754;32644;18,78999939;"Quercus";"prinus";"Fagaceae";0,57;222,116135866877;254,483241747922;46,3384753816998;202,662666365813;141,19494298218
"49";4942;4942;38,23999939;"Quercus";"prinus";"Fagaceae";0,57;1064,27999712516;1166,45552961175;272,237826345739;1280,36114414251;852,22575020118
"50";4939;4939;8,419999695;"Quercus";"prinus";"Fagaceae";0,57;37,8310264724452;45,5714509860856;5,92783459199013;24,1268820101657;18,5278052061483
"51";6043;6043;14,43000031;"Quercus";"rubra";"Fagaceae";0,56;124,372026714673;145,414377574825;23,3339264622221;99,0210093928544;72,3982828458737
"52";3740;3740;37,5;"Quercus";"rubra";"Fagaceae";0,56;1022,93973317385;1124,51905613036;255,267979293917;1197,00662073731;811,117052231258
"53";4844;4844;4,5;"Quercus";"rubra";"Fagaceae";0,56;9,50993937507622;11,98731183093;1,12427256442346;4,59336225544781;3,79675072224686
"54";4967;4967;59,19000244;"Quercus";"rubra";"Fagaceae";0,56;2800,21551097772;2988,93042147921;777,416409240198;3730,06739479279;2573,78798878458
"55";5996;5996;2,379999924;"Quercus";"rubra";"Fagaceae";0,56;2,33246800200467;3,0634662500742;0,203189779120874;0,924067115845977;0,757746764494104
"56";4866;4866;23,28000031;"Quercus";"rubra";"Fagaceae";0,56;357,29233654795;405,044592610269;78,143119966408;349,588598171066;242,801501567352
"57";3757;3757;56,39000244;"Quercus";"rubra";"Fagaceae";0,56;2516,26009619911;2694,25160074714;691,34613970911;3314,05507557239;2276,8046579549
"58";6176;6176;83,5;"Quercus";"rubra";"Fagaceae";0,56;5982,85003372669;6245,80055771972;1777,37126336993;8469,35616225459;6146,83007285282
"59";4961;4961;5,909999847;"Quercus";"rubra";"Fagaceae";0,56;17,3523139718578;21,4912578799726;2,31119111813741;9,32989000035414;7,56659906775148
"60";4868;4868;10,05;"Quercus";"rubra";"Fagaceae";0,56;55,9887077698623;67,0075795635787;9,22389498129125;37,8950020813402;28,9910910990787
"61";6076;6076;38,58999939;"Quercus";"rubra";"Fagaceae";0,56;1089,69534346549;1195,69054411475;273,907646621961;1287,30553729014;872,098615042677
"62";2623;2623;17;"Quercus";"rubra";"Fagaceae";0,56;178,557559741054;206,570803050063;35,391424528536;152,851874854064;109,602433142648
"63";6161;6161;11,3;"Quercus";"rubra";"Fagaceae";0,56;72,5157420844138;86,1330899984893;12,477112092852;51,734578524675;39,0007435011194
"64";4907;4907;49,97999878;"Quercus";"rubra";"Fagaceae";0,56;1928,09521779279;2080,62224422989;515,703044717382;2462,17533145157;1677,79507251372
"65";3677;3677;38,92000122;"Quercus";"rubra";"Fagaceae";0,56;1110,36160321438;1217,69765800615;279,701073996245;1315,39014107551;891,09031354039
"66";6162;6162;50,62000122;"Quercus";"rubra";"Fagaceae";0,56;1982,99085920667;2138,10408873481;531,924282659105;2540,97894268715;1732,68440735898
"67";6041;6041;9,659999847;"Quercus";"rubra";"Fagaceae";0,56;51,3068292621412;61,5613299026767;8,32711932653823;34,1164665853838;26,2286861740279
"68";3828;32656;1,039999962;"Quercus";"rubra";"Fagaceae";0,56;0,375428570564729;0,520150175552472;0,0207970929588225;0,136114919044323;0,0932993746099792
"69";3735;3735;40,02999878;"Quercus";"rubra";"Fagaceae";0,56;1181,43630387676;1293,29372099502;299,704173760516;1412,41591998113;956,797284040666
"70";6142;32955;2,370000076;"Quercus";"rubra";"Fagaceae";0,56;2,31090000000682;3,03596366956729;0,200880028582563;0,91461059062068;0,749717718722521
"71";4873;4873;12,29000015;"Quercus";"rubra";"Fagaceae";0,56;87,2783293872017;103,107499347228;15,4798600319747;64,6640392812518;48,2337137305637
"72";4864;4864;11,13000031;"Quercus";"rubra";"Fagaceae";0,56;70,1305320856336;83,3815056650832;11,9999694854474;49,6929365078782;37,5333406755631
"73";6031;6031;25,82999878;"Quercus";"rubra";"Fagaceae";0,56;449,389174721733;506,044178830958;101,333505638876;458,517438242878;315,834174148899
"74";6142;6142;3,720000076;"Quercus";"rubra";"Fagaceae";0,56;6,24852645831909;7,9736459799657;0,676930116956588;2,81962381790758;2,34562231556067
"75";3828;3828;1,469999981;"Quercus";"rubra";"Fagaceae";0,56;0,805583063347821;1,09147253482016;0,0543377504875487;0,294593945165716;0,223922259159645
"76";6000;6000;21,83999939;"Quercus";"rubra";"Fagaceae";0,56;310,341677844862;353,271732007318;66,5802015093342;295,744642846442;206,582513781455
"77";4871;4871;5,790000153;"Quercus";"velutina";"Fagaceae";0,56;16,5409796400966;20,4108757095553;2,18970504511045;8,84236794580028;7,18391557108741
"78";5010;5010;48,71000061;"Quercus";"velutina";"Fagaceae";0,56;1813,75485315229;1958,54035481986;484,364458110094;2309,88040786662;1572,02086480223
"79";3782;3782;29,62000122;"Quercus";"velutina";"Fagaceae";0,56;605,484339666401;674,514192620187;142,4809170362;653,953682164593;446,575256891403
"80";6020;6020;12,18000031;"Quercus";"velutina";"Fagaceae";0,56;85,2885640893504;100,45176422653;15,1270657711212;63,1381550818964;47,1489571901594
"81";6160;6160;62,59000244;"Quercus";"velutina";"Fagaceae";0,56;3153,08685706092;3351,72383311154;889,750828933828;4271,30282213881;2964,43542637319
"82";6145;6145;48,15;"Quercus";"velutina";"Fagaceae";0,56;1768,08267502824;1910,60591821611;470,903072351105;2244,44603176882;1526,69766645102
"83";6139;6139;62,20999756;"Quercus";"velutina";"Fagaceae";0,56;3111,01913385516;3308,26787959065;876,765587324064;4208,84420214738;2919,11154587615
"84";6101;6101;16,18000031;"Quercus";"velutina";"Fagaceae";0,56;159,553466462732;184,606267118457;31,2208219670743;134,1111885474;96,7163936302537
